px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-26.542	0.450375	5.03331	1.39988	-0.62804	-26.6201	0.57588	-26.5792	0.402213	0.598287	4.81045	0.0205128
-26.5316	0.694204	5.00956	1.40694	-0.508343	-26.8241	0.381506	-26.5462	0.642323	0.722748	4.79667	0.0273224
-26.5268	0.981688	5.09531	1.39993	-0.48123	-26.7293	1.06082	-26.5069	0.881666	0.846334	4.77986	0.0205128
-26.4865	1.25704	5.13764	1.40712	-0.356544	-25.9562	2.60409	-26.4616	1.12009	0.968955	4.76007	0.0273224
-26.4358	1.47976	5.07345	1.38454	-0.364093	-26.3986	1.42212	-26.4101	1.35745	1.09053	4.73737	0.0205128
-26.3931	1.69429	4.99725	1.36809	-0.357735	-26.5072	-0.563928	-26.3526	1.59361	1.21096	4.71181	0.0307692
-26.3452	1.88812	4.88772	1.34818	-0.361467	-26.3594	1.79315	-26.2891	1.82841	1.33018	4.68345	0.0205128
-26.2732	2.11768	4.88453	1.30317	-0.45773	-26.3475	1.82827	-26.2197	2.06173	1.44811	4.65235	0.0307692
-26.2156	2.29403	4.7564	1.27874	-0.461179	-26.2502	2.18481	-26.1444	2.29342	1.56467	4.61859	0.0205128
-26.1518	2.51809	4.73933	1.27064	-0.404332	-26.069	2.27896	-26.0633	2.52336	1.67979	4.58223	0.0307692
-26.0761	2.7656	4.78785	1.25164	-0.4016	-26.0641	2.80701	-25.9765	2.75141	1.79339	4.54334	0.0205128
-25.9781	2.98499	4.80757	1.18243	-0.584128	-26.3234	3.02388	-25.8841	2.97746	1.90543	4.502	0.0307692
-25.8717	3.28047	4.97134	1.15911	-0.571888	-25.8345	3.42005	-25.7861	3.20139	2.01582	4.45828	0.0205128
-25.7898	3.5127	4.97233	1.14163	-0.550992	-26.1824	3.73376	-25.6826	3.42306	2.12452	4.41227	0.0307692
-25.6829	3.70232	4.89978	1.10762	-0.562546	-25.6666	3.63509	-25.5737	3.64239	2.23146	4.36404	0.0205128
-25.5679	3.90638	4.87367	1.07564	-0.569295	-25.5773	3.13316	-25.4596	3.85924	2.3366	4.31367	0.0307692
-25.5018	4.07054	4.74125	1.05665	-0.561588	-25.7492	3.99968	-25.3402	4.07353	2.43989	4.26125	0.0205128
-25.381	4.26653	4.72227	1.02806	-0.556884	-25.3516	3.75691	-25.2157	4.28514	2.54127	4.20686	0.0307692
-25.2161	4.49424	4.80636	0.991827	-0.565216	-25.0214	4.52803	-25.0863	4.49399	2.64071	4.15058	0.0205128
-25.0676	4.6895	4.77753	0.981835	-0.468808	-24.2719	4.30917	-24.9518	4.69998	2.73817	4.09251	0.0346535
-24.9502	4.88304	4.75734	0.963687	-0.462161	-25.0363	4.88499	-24.8126	4.90303	2.83361	4.03273	0.0205128
-24.794	5.07124	4.76073	0.933345	-0.468908	-24.3609	4.95947	-24.6686	5.10304	2.92701	3.97132	0.0346535
-24.6233	5.29753	4.85581	0.91114	-0.463571	-24.5041	5.35293	-24.5201	5.29995	3.01833	3.90839	0.0205128
-24.4508	5.47076	4.87393	0.852481	-0.577546	-24.4379	5.24592	-24.367	5.49367	3.10754	3.84401	0.0346535
-24.2608	5.64372	4.88494	0.811814	-0.593575	-24.1159	5.61152	-24.2095	5.68414	3.19464	3.77827	0.0205128
-24.0982	5.79805	4.85222	0.770394	-0.633386	-24.5638	4.75836	-24.0477	5.8713	3.27959	3.71127	0.0346535
-23.9216	5.95725	4.83987	0.736147	-0.637669	-23.9153	5.94377	-23.8818	6.05508	3.36239	3.64309	0.0205128
-23.7808	6.14867	4.74716	0.781569	-0.376723	-23.5491	6.44495	-23.7117	6.23542	3.44302	3.57383	0.0346535
-23.6183	6.30457	4.72251	0.761041	-0.380502	-23.6471	6.29102	-23.5377	6.41227	3.52148	3.50357	0.0205128
